relative_time,Loader_front_orientation,Loader_cylinder_right,Loader_cylinder_left,Loader_cylinder_top,Loader_bucket_load_right,Loader_bucket_load_mid,Loader_bucket_load_left
19.3,0.59977718619025,0.2778310189957352,0.2778548643281614,-0.0253733734506185,0.0,0.0,0.0
19.35,0.5997617105463151,0.2774361580598387,0.2774545338217358,-0.0190735362021468,0.0,0.0,0.0
19.4,0.5997882341836793,0.2770824885461194,0.2770716043840373,-0.013664980391609,0.0,0.0,0.0
19.45,0.5997691343194551,0.2767413783490825,0.2767320774130055,-0.0089974485599353,0.0,0.0,0.0
19.5,0.5998027477059507,0.2764403118695221,0.2764220875660216,-0.0054883468050713,0.0,0.0,0.0
19.55,0.5998603346447655,0.2761534353917986,0.2761462160502826,-0.0028308382032725,0.0,0.0,0.0
19.6,0.5999044347640121,0.2759031048352344,0.2759006641744959,-0.0008978355266512,0.0,0.0,0.0
19.65,0.5998602015049791,0.2756996246732709,0.2756801096920652,5.9591190496029256e-05,0.0,0.0,0.0
19.7,0.5998352005969655,0.2755150352506682,0.2754973702288798,2.6459856265670973e-05,0.0,0.0,0.0
19.75,0.5997028539209269,0.2753633655445402,0.2753365265380712,0.0001297446359394,0.0,0.0,0.0
19.8,0.5996440531841247,0.2752412720373901,0.2752079183340059,4.318936123240934e-05,0.0,0.0,0.0
19.85,0.5995871489191624,0.2751518549265219,0.2751007447823633,5.58952328962745e-05,0.0,0.0,0.0
19.9,0.5995848622597814,0.2750980125826482,0.2750391294701774,4.236257185425092e-05,0.0,0.0,0.0
19.95,0.5995775166027587,0.2750592639035896,0.2750085236482621,7.941998148109241e-05,0.0,0.0,0.0
20.0,0.5997694680502969,0.275059731607463,0.2750173687382318,0.0001552073466062,0.0,0.0,0.0
20.05,0.5994417615847366,0.2750524375670388,0.275029351792036,0.0002005583169234,0.0,0.0,0.0
20.1,0.5988404853383468,0.2750421445154754,0.27503020366638,0.0002340266093969,0.0,0.0,0.0
20.15,0.5980193610702005,0.2750459820314613,0.2750391225090405,0.0001885680622625,0.0,0.0,0.0
20.2,0.5970360316059634,0.2750491293906431,0.2750293989280555,0.000178789019054,0.0,0.0,0.0
20.25,0.5956226610702059,0.2750350508126514,0.2750145156835314,0.0001182684744237,0.0,0.0,0.0
20.3,0.5938933332992049,0.2750331909530529,0.2750125081216212,5.6497819693086456e-05,0.0,0.0,0.0
20.35,0.5917891079047193,0.2750350464995915,0.2750116884538248,-6.738619848587072e-05,0.0,0.0,0.0
20.4,0.589363040551091,0.2750198482908076,0.2750151515960993,-0.0001093138255943,0.0,0.0,0.0
20.45,0.5866804889795917,0.2750259681961461,0.2750031010293808,-0.0001106642416782,0.0,0.0,0.0
20.5,0.583701210287608,0.27502129514101,0.2749959980320496,-0.0002171236991906,0.0,0.0,0.0
20.55,0.5803278066137655,0.2750155532073196,0.2749877042795133,-4.207787267208857e-05,0.0,0.0,0.0
20.6,0.5767374078508005,0.2750213481650499,0.2749804023455913,-7.550029436841565e-05,0.0,0.0,0.0
20.65,0.5729549194987549,0.2750089578990223,0.2749692290582465,-9.400388033986158e-05,0.0,0.0,0.0
20.7,0.5687132177499998,0.2750105079818153,0.2749528709417886,-0.0001331566504048,0.0,0.0,0.0
20.75,0.5642923026194141,0.2750124255086725,0.2749612801263312,-0.0001474156462124,0.0,0.0,0.0
20.8,0.5595441167027174,0.2750111935097533,0.2749615671924367,-8.028258761456814e-05,0.0,0.0,0.0
20.85,0.554559525490191,0.2750025119884477,0.2749757086117078,-7.596065390018153e-05,0.0,0.0,0.0
20.9,0.5491642127082829,0.2750088347356271,0.2749755177559688,4.855006727217327e-05,0.0,0.0,0.0
20.95,0.5435410112934471,0.275002397204644,0.2749679425609528,0.0001459888500465,0.0,0.0,0.0
21.0,0.5374259266259483,0.2750061411005509,0.2749707603364849,0.0002664285266158,0.0,0.0,0.0
21.05,0.5313942005315051,0.2749996928971833,0.274966775301354,0.000294927689393,0.0,0.0,0.0
21.1,0.5255293708263398,0.274989366232036,0.2749479428311575,0.0003068786977794,0.0,0.0,0.0
21.15,0.5195728662753705,0.2749886573209728,0.2749508218929052,0.0003790402795157,0.0,0.0,0.0
21.2,0.5134598403148496,0.2749908914049505,0.274950415876019,0.0003499098584256,0.0,0.0,0.0
21.25,0.5073661743076596,0.2750019681177916,0.2749601387596971,4.213867452283045e-05,0.0,0.0,0.0
21.3,0.5012992078059482,0.2749979167617962,0.2749590043142405,-4.307979479722554e-05,0.0,0.0,0.0
21.35,0.4952420839938208,0.2749881804653853,0.2749657848460937,-4.576056261944246e-05,0.0,0.0,0.0
21.4,0.4893330400351892,0.2749907224964089,0.2749751981397875,-2.971622435174549e-05,0.0,0.0,0.0
21.45,0.4833146641587772,0.274990474229268,0.2749906630269539,-6.244381792931434e-05,0.0,0.0,0.0
21.5,0.4772153011430313,0.2749909755863634,0.2749831044971594,-9.392808603939926e-05,0.0,0.0,0.0
21.55,0.4713009947165808,0.2749956631240907,0.2749908376764039,-6.637777226063312e-05,0.0,0.0,0.0
21.6,0.4652230436627844,0.2749931106651225,0.2749918826684369,-9.93052079071957e-05,0.0,0.0,0.0
21.65,0.4591176330916645,0.2749946150332614,0.2750065288926492,-8.388133530133426e-05,0.0,0.0,0.0
21.7,0.4532170097683629,0.2749900177353776,0.2750061980534558,-0.0002005080718802,0.0,0.0,0.0
21.75,0.447164831919383,0.2749882102222779,0.2750070936044852,-0.0003014683011576,0.0,0.0,0.0
21.8,0.4410756818629281,0.274992400353106,0.2750146712977542,-0.0002262379950866,0.0,0.0,0.0
21.85,0.4351057264034111,0.2749985104846809,0.2750128805189951,-0.0003721171053989,0.0,0.0,0.0
21.9,0.4292083482418907,0.2749943884218619,0.275002489917402,-0.0004780043495401,0.0,0.0,0.0
21.95,0.4231907439114798,0.2750028832454644,0.2749940237912652,-0.0003560418545365,0.0,0.0,0.0
22.0,0.4171852354102069,0.2750053779433862,0.2749959522830353,-0.0002417089543877,0.0,0.0,0.0
22.05,0.411301263852114,0.2750119238059628,0.2749952079521854,-0.0002887580963598,0.0,0.0,0.0
